country_code	domain_code	actual
ID	0018d00000K0WRnAAN	1626.431992
JP	0018d00000K0TlIAAV	1624.448821
PL	0018d00000T3EFoAAN	1622.836371
TR	001Pz000002I5bCIAS	1619.282971
ES	001Pz0000083CEaIAM	1614.181775
TR	0018d00000K0YB7AAN	1613.814844
PL	0018d00000K0XsSAAV	1606.60813
ID	0018d00000K0YIMAA3	1590.97674
ES	001Pz000003LVNLIA4	1583.888116
JP	0018d00000K0WTdAAN	1581.699782
TR	0018d00000K0ULwAAN	1577.602427
VN	0018d00000K0a7NAAR	1575
MX	0018d00000Rl6PyAAJ	1575
TW	0018d00000MXJ3LAAX	1565.064349
TR	0018d00000K0XLsAAN	1562.261299
TR	0018d00000K0X9bAAF	1562.260746
TR	0018d00000OkGgUAAV	1562.260733
TR	0018d00000K0XnsAAF	1562.260489
TR	0018d00000K0ZjeAAF	1546.637924
VN	0018d00000K0bGkAAJ	1546.41
TW	0018d00000RlB2vAAF	1533.762584
TR	001Pz000005iDMtIAM	1515.392897
TR	0018d00000K0b8rAAB	1506.0193
SC	0018d00000K0Z4HAAV	1500
ID	0018d00000K0X3QAAV	1500
VN	0018d00000fsiX6AAI	1500
TR	001Pz0000086zKLIAY	1493.521622
TR	0018d00000K0WhaAAF	1493.521344
SG	0018d00000K0XCuAAN	1487.082856
TR	0018d00000WC6Z8AAL	1477.898415
KR	0018d00000m4b7mAAA	1470.57165
AE	0018d00000K0cL0AAJ	1470
BR	0018d00000ibwAuAAI	1466.728017
TW	0018d00000Ol7PUAAZ	1463.335183
FR	0018d00000K0Y8jAAF	1460.553
PL	0018d00000K0WYJAA3	1459.470652
AE	0018d00000K0Z5qAAF	1452
TR	0018d00000K0Z0sAAF	1448.778425
AE	0018d00000K0XwyAAF	1444
ID	0018d00000K0U75AAF	1433.220913
TR	0018d00000K0awDAAR	1431.030861
TR	0018d00000T4GX9AAN	1430.295
TR	0018d00000K0XHqAAN	1430.187989
ID	0018d00000K0V2qAAF	1413.787814
TW	0018d00000K0a4oAAB	1408.55786
TR	0018d00000T4GWgAAN	1408.534135
TR	0018d00000K0Zz0AAF	1402.753912
TR	0018d00000LdOYsAAN	1390.412226
BR	001Pz0000026ssgIAA	1387.445157
TR	001Pz000001tnyoIAA	1387.287655
TR	0018d00000K0YHOAA3	1377.913817
TR	0018d00000K0U3eAAF	1364.165967
TR	0018d00000ifsfTAAQ	1364.165752
TR	0018d00000K0VGDAA3	1359.729258
TR	0018d00000T4GWZAA3	1359.222
TR	0018d00000K0W7hAAF	1358.229617
JP	0018d00000K0UcjAAF	1357.03901
